year,nominal_gdp,growth_rate
1,18591248.35,N/A
2,22962194.01,23.51
3,26859087.72,16.97
4,28204743.19,5.01
5,30570470.30,8.39
6,29546881.82,-3.35
7,27084465.69,-8.33
8,28525780.26,5.32
9,27983272.20,-1.90
10,25666141.71,-8.28
11,27508429.50,7.18
12,28675081.98,4.24
13,28374052.54,-1.05
14,28973745.09,2.11
15,27718944.71,-4.33
16,25071055.19,-9.55
17,24809695.21,-1.04
18,27911583.25,12.50
19,29091391.79,4.23
20,28716335.03,-1.29
