year,growth_rate
2,23.51
3,16.97
4,5.01
5,8.39
6,-3.35
7,-8.33
8,5.32
9,-1.90
10,-8.28
11,7.18
12,4.24
13,-1.05
14,2.11
15,-4.33
16,-9.55
17,-1.04
18,12.50
19,4.23
20,-1.29
